state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Johor,Johor,2020,"Fish landings per 1,000 residents",3,17.501808115320348,17.5,93.00088270505424,73.38102763574032,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",75447.3,898282.7999999999,70177,4009.7,Higher exposure
Johor,Johor,2020,Population,4,4009.7,"4,009.7 thousand",56.73908947284507,73.38102763574032,Higher values mean stronger demand pressure,thousand people,75447.3,898282.7999999999,70177,4009.7,Moderate exposure
Johor,Johor,2021,Food inflation,1,1.8,1.8%,64.97695852534562,72.17376712866975,Higher values mean more price pressure,%,84216.3,1022278.2999999999,51418,4020.0,Moderate exposure
Johor,Johor,2021,"Crop production per 1,000 residents",2,254.29808457711442,254.3,73.6921349900388,72.17376712866975,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",84216.3,1022278.2999999999,51418,4020.0,Higher exposure
Johor,Johor,2021,"Fish landings per 1,000 residents",3,12.790547263681592,12.8,93.31011797413092,72.17376712866975,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",84216.3,1022278.2999999999,51418,4020.0,Higher exposure
Johor,Johor,2021,Population,4,4020.0,"4,020.0 thousand",56.715857025163686,72.17376712866975,Higher values mean stronger demand pressure,thousand people,84216.3,1022278.2999999999,51418,4020.0,Moderate exposure
Johor,Johor,2022,Food inflation,1,6.1499999999999995,6.1%,69.89247311827957,71.5398593859799,Higher values mean more price pressure,%,85275.3,1173189.5,57727,4028.3,Higher exposure
Johor,Johor,2022,"Crop production per 1,000 residents",2,291.2368741156319,291.2,67.02806653380773,71.5398593859799,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",85275.3,1173189.5,57727,4028.3,Higher exposure
Johor,Johor,2022,"Fish landings per 1,000 residents",3,14.330362684010623,14.3,92.69965090474682,71.5398593859799,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",85275.3,1173189.5,57727,4028.3,Higher exposure
Johor,Johor,2022,Population,4,4028.3,"4,028.3 thousand",56.539246987085455,71.5398593859799,Higher values mean stronger demand pressure,thousand people,85275.3,1173189.5,57727,4028.3,Moderate exposure
Kedah,Kedah,2018,Food inflation,1,-1.15,-1.1%,0.0,42.34634597973647,Higher values mean more price pressure,%,229544.8,1048183.4,149272,2163.0,Lower exposure
Kedah,Kedah,2018,"Crop production per 1,000 residents",2,484.59704114655574,484.6,55.11096648899472,42.34634597973647,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",229544.8,1048183.4,149272,2163.0,Moderate exposure
Kedah,Kedah,2018,"Fish landings per 1,000 residents",3,69.01155802126677,69.0,81.90302470724099,42.34634597973647,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",229544.8,1048183.4,149272,2163.0,Higher exposure
Kedah,Kedah,2018,Population,4,2163.0,"2,163.0 thousand",32.37139272271016,42.34634597973647,Higher values mean stronger demand pressure,thousand people,229544.8,1048183.4,149272,2163.0,Lower exposure
Kedah,Kedah,2019,Food inflation,1,2.725,2.7%,100.0,67.13755320087628,Higher values mean more price pressure,%,228844.1,954158.2,149251,2173.7,Higher exposure
Kedah,Kedah,2019,"Crop production per 1,000 residents",2,438.9557896673874,439.0,51.42220320948327,67.13755320087628,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",228844.1,954158.2,149251,2173.7,Moderate exposure
Kedah,Kedah,2019,"Fish landings per 1,000 residents",3,68.66218889451167,68.7,84.7499113234344,67.13755320087628,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",228844.1,954158.2,149251,2173.7,Higher exposure
Kedah,Kedah,2019,Population,4,2173.7,"2,173.7 thousand",32.37809827058749,67.13755320087628,Higher values mean stronger demand pressure,thousand people,228844.1,954158.2,149251,2173.7,Lower exposure
Kedah,Kedah,2020,Food inflation,1,0.6583333333333333,0.7%,24.31192660550459,41.79204149334289,Higher values mean more price pressure,%,229987.8,1000215.0,134420,2131.4,Lower exposure
Kedah,Kedah,2020,"Crop production per 1,000 residents",2,469.27606268180534,469.3,39.09559342201964,41.79204149334289,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",229987.8,1000215.0,134420,2131.4,Moderate exposure
